=== POST METADATA ===
Post URL,https://www.instagram.com/reel/CZze5EshBlQ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
Post Type,reel
Post Caption,"155K likes, 1,018 comments - doobydobap on February 10, 2022: ""247 or 95?

Spam Kimchi Fried Rice 
½ can spam
2 cups day old rice 
1 cup fermented kimchi 
jiro_wushi,"I don't mind the grind and my hobbies are simplistic and don't require huge buy ins or attention. Besides, there is nothing wrong with a life of peace and prosperity.",0
jen_the_yorubong,Making your passion your job means that it becomes work. And you stop loving it. That's just the opinion of this 30 year old 9-5 er,0
iam_inanna_star,🙌😍🔥🔥🔥🔥,0
iam_inanna_star,$$ Genius!!!!!!! $$,0
clgl22,That Burp proves the food was really good…..  And the beer too.,0
moiben.loipong.nyam,Soooo true....welll said👏👏,0
cryptotroph,"I'm not sure either of them are ""better"" but I'd guess there's other options. Then again, as a serial hobbyist, I'm probably biased",0
geremygreyphotography,I enjoy the security of my income from my 9-5. Then I work o nthe side with my passion.,0
nicolasguhrrrvaki,"Good stuff but Gary is all about: Don't rush, you aren't too late",0
m.o.t.o.gg,Will you marry me? ❤️,0
mr.nikdu30,"Everything is good with SMB. Seriously, hustling goes well after 30+ so don't feel like you have a time limit to do what you want. People will always find something wrong with what you do so don't mind them. Being able to say you make it may happen sooner (or later) than you expect.",0
sahir.de,Well said,0
zathifer,"But I think that's the point geryv and others a making, you should use the time to figure out what works for you. If it's the 9-5 great if it isn't great to. One should just create the life that gives them the most joy and that looks different for everyone. It's really hard for me to be honest but i keep looking til I find it.",0
athena.s.art,Thats why i wanna become a scientist or something in that area but also make music as a hobby! I think thats a good idea😮,0
korculator,Good advice,0
patelnit24,Are you korean or Filipino,0
classic_aust,👌🏼✨✨✨,0
marcus_desperado_21,Is that kimtchi? What's the contains if it is...,0
briankorah,"Shit, you get it.",0
jessiej__20,She made that beer look so good,0
instashooting,@sulz0628 😮🤔,0
@sulz0628,instashooting,0
kensredemption,"Oh, wow, perfect loop. 😮",0
aresi_,PALE PILSEN!! 🍺❤,0
timesize,I don’t think repertoire means what you think it means,0
lbontigao,yo the San Miguel 👏👏👏,0
fredorivera_,This post was so pointless,0
ksmitt312,The gras is always greener on the other side ¯\_(ツ)_/¯,0
noisethingz,"I think it also really depends on what kind of 9-5 you are doing. I totally agree with what you are saying but honestly, if you want to work 9-5 choose a place you feel comfortable with. A place with no to barely any toxic people and one that you resonate with in what your company is and does, not everything but most of them. Otherwise it will just drain you. It's the same with working for a passion 24/7. It truly depends on what it is and if you have reflected on yourself in these matters. Working 9-5 can be fun, but as someone who does work 8 hours but with shifts going beyond 5 o'clock. You have Barely any social life, time for yourself and the things that need to be done. Esp if you aren't someone who is a 'hustler' in a way of what you see online, waking up at 5 am and going so much already and even after work still doing a lot. Most people who work like that with these shifts look like life has kind of left their eyes. At least, that's what I was able to see in my perspective.",0
ebug64,"You don't have to love your job or pursue your dream to live a fulfilling life. As a culture, we place too much emphasis on careers and monetizing our passions. Sometimes a job is just a job and that's ok.",0
adrianarman,that burp lol,0
jessica_kwong_,🙌🙌🙌🙌,0
codysum1,So does spam taste like hotdogs? I’ve just never seen that outside of a dollar store and it looks fucking nasty,0
tactical_trilby,"Look up ""repertoire""",0
harreypotting,What about a 9 - 5 job that I love that is also my hobby?,0
breakxalimb,It depends much you hate your 9-5. You may not have to do something you love. But don't hate 1/3 of your life,0
gerosan,MFW: I take the first whiff of freshly opened Kimchi. Sheesh. Hru these days Tina?,0
lupe_p831,Then she meets a rich dude that’s been hustling his whole life,0
dwahlgren4,Yes. Stability is important,0
thismustbetheplace14,Siiicccckkkk Frank Ocean @blonded in the background,0
@blonded,Siiicccckkkk Frank Ocean @blonded in the background,0
joolieberry,"As my father would say, get a job that will support your hobbies",0
gretajiturakim,I’m eleven and I’m already thinking about my future job,0
gretajiturakim,There is this Swedish Korean girl who is so good at cooking and I think you should follow her @jenniewallden ❤️ It’s not me by the way 🔥,0
@jenniewallden,There is this Swedish Korean girl who is so good at cooking and I think you should follow her @jenniewallden ❤️ It’s not me by the way 🔥,0
rex6sads,Omg i saw doobie in my reels explore! Hiiii 👋 followed,0
19sassafrasscass82,I think what works for me is having a 9 to 5 and having a hobby. 👍🏼,0
gandalf_degrey,9-5 with a few passionate hobbies and a little family (a wife and two children) is the way I went and I have zero regrets. Wouldn’t change it for anything in the world. 20’s well spent.,0
kierandiazhardy,Now that's a follow from me,0
jeez_itsrj,"wait, a cover on a can of spam? y’all got some fancy spam",0
doolally.ldn,how did my 9-5 become a 24/7🥺 i cry,0
itsflowerisaac,i wouldn’t mind doing it 24/7 because i got other things that i live equally as that one,0
hamachangy,258,0
gipameru,95,0
hi_iamcamille,That SanMig beer!!! ❤️,0
bradc9,The burb is perfect,0
dreday.ig,Brown the spam first. Then rice then kimchi.,0
ghostlore.of.hawaii,How do I get that spam lid lol,0
deathwoup,Shit looks delicious,0
yokerpka_,"I worked a 9-5 out of high school , didn’t go to college. Now 5 years later, I’m about to start my first semester at MSU for my PhD in Chemistry. 24/7 life for me honestly, the 9-5 got old real fast.",0
danchoy86,"I’d rather have freedom and all the time to do whatever I wanted, whenever I wanted, but life isn’t that simple. Garyvee also says happiness should be the ROI. I also agree with that, so I guess whatever leads to that result will always be good bet.",0
oh_be_juan,@pau_isa1410,0
@pau_isa1410,oh_be_juan,0
rwynlsofficial,I see what you drink there 👏🇵🇭,0
luis.ongpin.travels,"I think about this quote from Jimmy Yangs Stand-Up ""Growing up, my dad was 'get a real job, don't go pursuing your dreams, that's how you become homeless.' So, do I pick my family or do I pick my own happiness, and how much does my own happiness depend on my family?""",0
mie_lero,I see San Miguel 🍺 👀,0
d_nichristina,@josieaguilar ahhhh we were talking about spam earlier! this looks good,0
@josieaguilar,@josieaguilar ahhhh we were talking about spam earlier! this looks good,0
angelaeden,Has anyone evee noticed how your videos where you speak perfectly loop? 👏😍,0
ibizusensei,Hope you joking on your story doobs lol… you know asian moms always gonna clank if the shoes aren’t at the door area lol,0
fern4ndow,"A good food video has never started with a spam can, ever",0
lineisidle,"I want neither of those things that you have described… I pay little to no attention to archetypes or hierarchical structures, I just do what I want. Success will always be a personal thing for me.",0
meanwritehook,The burp is what got me to follow 😂,0
turbobaba789,Just give me the recipe,0
belen.ladd,Can you prepare an authentic chicken katsudon? @doobydobap,0
@doobydobap,Can you prepare an authentic chicken katsudon? @doobydobap,0
sammie.yniguez,San Miguel Beer! 🇵🇭,0
nazaliens,Hustle Culture!,0
deag1eson,Don’t yuck my yum. Ay I like that,0
nit0ku,im starving,0
fjanineaniciete,What did you put for the sauce?,0
_americanidle,I think it’s important to have a nice balance and more importantly making sure you’re healthy both emotionally and physically to be able to live your best live and handle all the curve balls that life will inevitably throw your way.,0
jey.gigan,"Doode! Where are you, that's San Miguel.",0
darenbrgs,San Miguel Beer. Nice choice. ❤️,0
thestoebz,You're so beautiful and these videos are vibe,0
that_msg_slut,GaryV makes me wanna eat a bullet,0
kalamaitai,🔥🔥🔥🔥,0
vckyi,Her drinking beer makes me like her even moreeeee @mayteegarpotrocks,0
@mayteegarpotrocks,Her drinking beer makes me like her even moreeeee @mayteegarpotrocks,0
david.belanger.14,The 20s is that time because too many regret not getting after it when they had youth energy time and less responsibilty. Mid life crisis isn't made up of nothing.,0
my_bad,Just got hungry watching this,0
elleunbi,@jonny.bananaz,0
@jonny.bananaz,elleunbi,0
burhancerit,Lavalabalabslalslbsbs,0
nursyahmie,Ahhhhhhhhhhhh love u....😍,0
zaldy_aguirre,😍😍😍,0
eatwkris,Yummy,0
d.rodphotos,This looks incredible 🤤🤤🤤,0
imlyles,Love you sm,0
